Author Name,Total_Books_Listed,Total_Copies_Sent,Total_Manual_Sold,Total_Revenue,Authors offerings - Copies Sent,Books for Mangalore Airport  - Copies Sent,Books for first three Airports - Copies Sent,Dehradun Book Fair - Copies Sent,Event Statistics - Copies Sent,Goa Book Fair - Copies Sent,Kolkata Airport - Copies Sent,List of Books - Copies Sent,Old Data - Copies Sent,Pune Airport Flybrary - Copies Sent,Registered Authors - Copies Sent,Sheet1 - Copies Sent,Srinagar Book Fair - Copies Sent,Trivendrum Airport  - Copies Sent,Authors offerings - Manual Sold,Books for Mangalore Airport  - Manual Sold,Books for first three Airports - Manual Sold,Dehradun Book Fair - Manual Sold,Event Statistics - Manual Sold,Goa Book Fair - Manual Sold,Kolkata Airport - Manual Sold,List of Books - Manual Sold,Old Data - Manual Sold,Pune Airport Flybrary - Manual Sold,Registered Authors - Manual Sold,Sheet1 - Manual Sold,Srinagar Book Fair - Manual Sold,Trivendrum Airport  - Manual Sold,Authors offerings - Revenue,Books for Mangalore Airport  - Revenue,Books for first three Airports - Revenue,Dehradun Book Fair - Revenue,Event Statistics - Revenue,Goa Book Fair - Revenue,Kolkata Airport - Revenue,List of Books - Revenue,Old Data - Revenue,Pune Airport Flybrary - Revenue,Registered Authors - Revenue,Sheet1 - Revenue,Srinagar Book Fair - Revenue,Trivendrum Airport  - Revenue
1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1,0,60,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,2,0,570,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
