Source File,Event/Location Name,Author Name,Book Title,Copies Sent,Manual Sold,Returned,Revenue,POS Sold
Pune Authors Association Data Base (1).xlsx,Registered Authors,NaT,NaT,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Divya Mahadik,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Reyanshi Chouhan,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Cdr Madhavi,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Uma Yogananda,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Padma C,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Amita Samant,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Nima Mankar,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Anita Sharma,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Chetna Bhatia,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Jasbir Basu,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Vinay Vaidya,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Shivani Sabharwal,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Srishti Jain,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Vaishali Jog,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Rajesh Wattamwar,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Nitesh Pandey,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Vandana Srivastava,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Gautam Mayekar,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Deepak Phadnis,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Deepti Kolte,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Sanjay lazar,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Cdr Shiv Mathur,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Lakshmi Ajoy,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Pratima Kapur,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Cmde Sanjay Tewari,No,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Ashwini Sane,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Riya Menghani,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,LtCol Vineet Kumar,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Jaishree Laxmikant,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Ritu Rawat,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Nandini Cardaso,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Saroj Salelkar,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Nisha Shenoy,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Bijall Sheth,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Diya Santhosh,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Bindu Unnikrishnan,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Shefali Arora,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Cdr Satish Yadav,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Geet Mala Jalota,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Gp Capt Srinivasan,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Sanjay Koul,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Siddharth Sen,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Dr Vishwa Ratan,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Himani Paranjpe,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Geetanjali Mehra,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Registered Authors,Madhuri Maitra,Yes,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,8.0,40.0,0,40,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,6.0,55.0,0,55,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,10.0,30.0,0,30,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,8.0,15.0,0,15,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,6.0,15.0,0,15,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,8.0,45.0,0,45,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,5.0,20.0,0,20,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,34.0,261.0,0,261,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,5.0,10.0,0,10,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,11.0,244.0,0,244,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,26.0,296.0,0,296,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,8.0,47.0,0,47,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,11.0,41.0,0,41,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,4.0,28.0,0,28,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,4.0,41.0,0,41,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,9.0,26.0,0,26,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,39.0,135.0,0,135,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,8.0,55.0,0,55,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,8.0,67.0,0,67,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,8.0,31.0,0,31,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,6.0,35.0,0,35,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,6.0,17.0,0,17,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,7.0,24.0,0,24,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,8.0,57.0,0,57,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,8.0,32.0,0,32,0,0.0,0
Pune Authors Association Data Base (1).xlsx,Event Statistics,8.0,58.0,0,58,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,S.No,S.No,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,1,1,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,2,2,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,3,3,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,4,4,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,5,5,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,6,6,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,7,7,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,8,8,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,9,9,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,10,10,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,11,11,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,12,12,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,13,13,0,0,0,0.0,0
Pune Authors Association Data Base (1).xlsx,List of Books,14,14,0,0,0,0.0,0
